nu_assumed,nu_true,welfare_optimal_misspecified,welfare_benchmark,welfare_hybrid,welfare_loss_optimal,welfare_loss_hybrid
0.1,0.1,-101.67081169517728,-96.89333738226446,-238.85,0.0,141.95666261773553
0.1,0.2,-99.75952298227533,-111.50650721584232,-242.55,-11.746984233566991,131.0434927841577
0.1,0.3,-103.58495573701357,-91.35710061793462,-243.55,12.227855119078953,152.19289938206538
0.1,0.4,-97.84942480352122,-98.07222526696009,-243.4,-0.2228004634388725,145.32777473303992
0.1,0.5,-94.98628868852335,-94.96886823975728,-239.775,0.017420448766060304,144.80613176024272
0.1,0.6,-80.65328296297366,-96.78786375206869,-239.075,-16.134580789095025,142.2871362479313
0.1,0.7,-89.25136556119065,-96.68292953501727,-240.4,-7.431563973826613,143.71707046498273
0.1,0.8,-80.65495186450343,-95.11068988542952,-234.0,-14.455738020926091,138.8893101145705
0.1,0.9,-81.60678532390199,-83.48818247434899,-230.125,-1.8813971504470004,146.636817525651
0.2,0.1,-94.29131043573395,-96.89333738226446,-240.85,-2.602026946530515,143.95666261773553
0.2,0.2,-101.94253191127939,-111.50650721584232,-242.85,0.0,131.34349278415766
0.2,0.3,-95.24779344400785,-91.35710061793462,-232.75,3.8906928260732343,141.39289938206537
0.2,0.4,-97.16062121716469,-98.07222526696009,-239.0,-0.9116040497954003,140.9277747330399
0.2,0.5,-98.11706065255588,-94.96886823975728,-229.9,3.1481924127985934,134.93113176024272
0.2,0.6,-92.37871132679066,-96.78786375206869,-234.85,-4.409152425278023,138.0621362479313
0.2,0.7,-85.68398302646628,-96.68292953501727,-232.575,-10.998946508550986,135.89207046498274
0.2,0.8,-94.29158216016658,-95.11068988542952,-243.4,-0.8191077252629384,148.28931011457047
0.2,0.9,-70.38168342289148,-83.48818247434899,-234.15,-13.106499051457504,150.66181752565103
0.3,0.1,-106.67516707955323,-96.89333738226446,-240.85,9.78182969728877,143.95666261773553
0.3,0.2,-87.52581832318162,-111.50650721584232,-238.625,-23.980688892660694,127.11849278415768
0.3,0.3,-96.1444910637963,-91.35710061793462,-238.525,0.0,147.1678993820654
0.3,0.4,-79.86836538457199,-98.07222526696009,-241.6,-18.2038598823881,143.5277747330399
0.3,0.5,-92.31418658979257,-94.96886823975728,-234.525,-2.654681649964715,139.55613176024272
0.3,0.6,-76.99655225391383,-96.78786375206869,-237.75,-19.791311498154855,140.9621362479313
0.3,0.7,-86.57211621894989,-96.68292953501727,-242.375,-10.110813316067379,145.69207046498275
0.3,0.8,-86.57030031175506,-95.11068988542952,-235.45,-8.54038957367446,140.33931011457048
0.3,0.9,-81.78429814436504,-83.48818247434899,-237.775,-1.70388432998395,154.28681752565103
0.4,0.1,-96.15355831350149,-96.89333738226446,-241.1,-0.7397790687629708,144.20666261773553
0.4,0.2,-101.91119325255936,-111.50650721584232,-241.85,-9.595313963282962,130.34349278415766
0.4,0.3,-89.43860185875056,-91.35710061793462,-240.55,-1.918498759184061,149.19289938206538
0.4,0.4,-82.72134918745121,-98.07222526696009,-230.425,0.0,132.35277473303992
0.4,0.5,-96.15560820771911,-94.96886823975728,-247.575,1.1867399679618273,152.6061317602427
0.4,0.6,-85.60170472484923,-96.78786375206869,-237.075,-11.18615902721946,140.2871362479313
0.4,0.7,-82.72384797183832,-96.68292953501727,-230.5,-13.959081563178941,133.81707046498275
0.4,0.8,-96.15694876813131,-95.11068988542952,-236.375,1.0462588827017925,141.2643101145705
0.4,0.9,-74.08798633448693,-83.48818247434899,-236.925,-9.40019613986206,153.436817525651
0.5,0.1,-105.53627584155107,-96.89333738226446,-245.8,8.642938459286611,148.90666261773555
0.5,0.2,-100.73296856329667,-111.50650721584232,-247.875,-10.773538652545653,136.3684927841577
0.5,0.3,-94.96795445467833,-91.35710061793462,-239.8,3.610853836743715,148.44289938206538
0.5,0.4,-85.360876023744,-98.07222526696009,-239.225,-12.711349243216091,141.1527747330399
0.5,0.5,-92.08649599724583,-94.96886823975728,-240.775,0.0,145.80613176024272
0.5,0.6,-85.36079957393953,-96.78786375206869,-238.375,-11.427064178129157,141.5871362479313
0.5,0.7,-81.5182977520627,-96.68292953501727,-234.9,-15.164631782954572,138.21707046498273
0.5,0.8,-80.5582340495077,-95.11068988542952,-230.05,-14.552455835921819,134.9393101145705
0.5,0.9,-80.55880233942653,-83.48818247434899,-237.45,-2.9293801349224537,153.96181752565099
0.6,0.1,-101.59208145467873,-96.89333738226446,-242.8,4.6987440724142715,145.90666261773555
0.6,0.2,-99.67036648965014,-111.50650721584232,-239.325,-11.836140726192184,127.81849278415767
0.6,0.3,-92.94433621758104,-91.35710061793462,-234.825,1.5872355996464194,143.46789938206535
0.6,0.4,-105.43555072488431,-98.07222526696009,-234.05,7.363325457924219,135.97777473303992
0.6,0.5,-90.06177398639824,-94.96886823975728,-246.2,-4.907094253359048,151.2311317602427
0.6,0.6,-89.10088318279419,-96.78786375206869,-239.0,0.0,142.2121362479313
0.6,0.7,-82.37485077225345,-96.68292953501727,-235.4,-14.308078762763813,138.71707046498273
0.6,0.8,-91.02265679865928,-95.11068988542952,-233.125,-4.088033086770238,138.0143101145705
0.6,0.9,-84.29653370499544,-83.48818247434899,-230.525,0.8083512306464513,147.03681752565103
0.7,0.1,-107.26549054878363,-96.89333738226446,-245.1,10.372153166519169,148.20666261773553
0.7,0.2,-89.94904559845614,-111.50650721584232,-239.85,-21.55746161738618,128.34349278415766
0.7,0.3,-99.56916386019554,-91.35710061793462,-248.675,8.212063242260925,157.31789938206538
0.7,0.4,-94.75890126590431,-98.07222526696009,-241.025,-3.3133240010557756,142.95277473303992
0.7,0.5,-101.49297542982161,-94.96886823975728,-226.825,6.524107190064328,131.8561317602427
0.7,0.6,-82.25290922365114,-96.78786375206869,-238.475,-14.534954528417543,141.6871362479313
0.7,0.7,-88.02491170164471,-96.68292953501727,-239.0,0.0,142.31707046498275
0.7,0.8,-81.29078502280007,-95.11068988542952,-233.975,-13.819904862629457,138.86431011457046
0.7,0.9,-87.06267862333911,-83.48818247434899,-236.05,3.5744961489901215,152.561817525651
0.8,0.1,-101.82046081387213,-96.89333738226446,-243.775,4.927123431607669,146.88166261773554
0.8,0.2,-96.06835320984415,-111.50650721584232,-240.7,-15.438154005998172,129.19349278415768
0.8,0.3,-87.44102562373165,-91.35710061793462,-242.125,-3.9160749942029724,150.76789938206537
0.8,0.4,-95.11045271836063,-98.07222526696009,-237.375,-2.9617725485994555,139.3027747330399
0.8,0.5,-89.35880105544993,-94.96886823975728,-241.325,-5.610067184307354,146.3561317602427
0.8,0.6,-78.81384660535599,-96.78786375206869,-240.85,-17.974017146712697,144.0621362479313
0.8,0.7,-79.77423179050156,-96.68292953501727,-235.975,-16.908697744515706,139.29207046498271
0.8,0.8,-79.77357519135786,-95.11068988542952,-241.3,0.0,146.1893101145705
0.8,0.9,-82.64969616863547,-83.48818247434899,-235.75,-0.8384863057135163,152.261817525651
0.9,0.1,-107.58155407847447,-96.89333738226446,-242.175,10.688216696210006,145.28166261773555
0.9,0.2,-99.87369826415929,-111.50650721584232,-243.425,-11.632808951683032,131.9184927841577
0.9,0.3,-94.08954477837071,-91.35710061793462,-238.775,2.7324441604360885,147.4178993820654
0.9,0.4,-99.87309649545973,-98.07222526696009,-242.95,1.8008712284996449,144.8777747330399
0.9,0.5,-90.23437563167194,-94.96886823975728,-237.7,-4.734492608085347,142.7311317602427
0.9,0.6,-89.27102394241328,-96.78786375206869,-245.025,-7.5168398096554085,148.23713624793132
0.9,0.7,-70.95970637937683,-96.68292953501727,-245.35,-25.72322315564044,148.66707046498271
0.9,0.8,-78.67034862620189,-95.11068988542952,-233.375,-16.440341259227637,138.2643101145705
0.9,0.9,-82.52492144953086,-83.48818247434899,-236.825,0.0,153.33681752565099
